Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
37.248,38,50,33,50,53,56,38,34,31,42,41,35,35,25,17,42,36,34
37.376,38,50,44,62,59,73,42,29,26,51,45,33,37,32,25,33,39,42
37.504,50,51,30,47,48,54,43,34,25,44,44,40,36,22,26,44,37,36
37.632,55,64,27,43,48,70,41,34,26,44,43,37,26,33,17,39,42,39
37.76,44,38,37,65,41,57,52,43,30,44,41,47,42,34,14,44,31,33
37.888,50,59,27,54,53,43,38,47,33,47,39,20,29,16,21,36,47,26
38.016,47,46,30,47,56,61,34,36,33,46,36,34,37,25,20,29,36,40
38.144,48,40,37,47,60,60,38,38,26,55,35,31,30,30,20,36,27,31
38.272,42,46,31,66,50,49,47,32,27,39,37,20,35,24,17,34,35,31
38.4,48,56,29,50,48,62,39,25,25,50,33,41,42,20,26,46,31,33
38.528,53,40,40,56,50,50,35,33,31,40,41,17,29,18,16,38,29,43
38.656,58,51,30,62,56,64,43,31,34,44,39,37,20,22,19,28,40,29
38.784,54,46,46,41,52,52,34,40,26,51,33,30,30,25,29,39,41,28
38.912,50,49,38,52,36,61,50,36,34,43,37,41,27,22,16,37,28,44
39.04,35,47,30,59,54,69,45,41,27,41,41,32,30,34,22,46,29,22
39.168,37,38,42,53,52,59,36,27,25,45,30,35,35,27,24,38,32,38
39.296,46,51,33,39,57,47,52,33,35,47,28,24,37,22,20,40,34,44
39.424,49,48,30,59,50,70,38,24,30,36,38,27,31,27,19,34,34,35
39.552,55,44,28,40,55,55,38,37,29,42,45,33,33,25,23,36,33,28
39.68,34,48,22,62,43,58,40,37,27,43,33,26,29,28,22,37,42,31
